theme,policy_level,core_keywords,core_sectors,related_sectors,priority
AI算力,national_core,算力|AI服务器|GPU|高速互联,服务器|算力基础设施,光模块|PCB,100
国产替代,national_core,自主可控|替代,半导体设备|工业软件,网络安全|信创,95
数据中心,national_core,数据中心|IDC,数据中心|液冷,边缘计算|AI算力,92
光模块,strategic,光模块|CPO|800G,光模块|通信设备,AI算力|数据中心,90
PCB,strategic,PCB|高多层板,PCB|元器件,AI算力|汽车电子,88
半导体设备,national_core,刻蚀|薄膜沉积|检测设备,半导体设备,半导体材料,99
半导体材料,national_core,光刻胶|硅片|靶材,半导体材料,半导体设备,97
机器人,national_core,机器人|伺服|控制器,机器人零部件|智能制造,工业软件,90
工业软件,national_core,工业软件|PLM|MES,工业软件|信创,智能制造,93
信创,national_core,信创|国产软件|国产硬件,信创|工业软件,网络安全,94
网络安全,strategic,网络安全|数据安全,网络安全|信创,数据要素,85
汽车电子,support,汽车电子|域控制器|智能座舱,汽车电子|连接器,传感器,82
液冷,strategic,液冷|冷板|浸没式,液冷|数据中心,AI算力,84
低空经济,support,低空经济|无人机,通信设备,卫星互联网,75
卫星互联网,support,卫星互联网|星座,通信设备|边缘计算,低空经济,76
AI终端,support,AI终端|AIPC|AI手机,消费电子|连接器,边缘计算,78
边缘计算,support,边缘计算|边缘节点,边缘计算|数据中心,AI终端,80
